Processes iZ25qtxwjqdZ,Runnable,Blocked,pswitch,syscall,read,write,fork,exec,sem,msg
2015-12-09 14:16:47,1,0,30162.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:48,2,1,28656.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:49,2,0,28195.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:50,1,0,29840.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:51,5,0,28970.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:52,4,0,23470.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:53,5,1,29129.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:54,1,0,17383.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:55,9,0,29130.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:56,5,0,31787.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:57,5,0,32915.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:58,4,1,31679.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:16:59,3,0,30897.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:00,2,0,31870.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:01,2,0,33718.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:02,2,0,33174.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:03,5,1,30839.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:04,1,0,30865.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:05,1,0,31434.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:06,4,0,30949.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:07,5,0,32825.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:08,2,1,30463.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:09,4,0,25336.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:10,7,0,31647.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:11,3,0,32420.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:12,4,0,35425.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:13,7,2,32489.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:14,2,0,18011.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:15,3,0,31482.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:16,3,0,30781.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:17,1,0,31953.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:18,6,1,32287.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:19,4,0,31984.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:20,2,0,33267.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:21,6,0,32502.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:22,1,0,31536.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:23,7,1,32444.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:24,5,0,28377.3,-1.0,-1.0,-1.0,9.0,-1.0,-1.0,-1.0
2015-12-09 14:17:25,2,0,30176.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:26,2,0,26244.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:27,4,0,29959.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:28,7,2,27310.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:29,7,0,23781.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:30,7,0,30506.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:31,9,0,31000.8,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:32,3,0,31966.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:33,4,1,32085.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:34,3,0,30012.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:35,5,0,32003.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:36,5,0,32443.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:37,4,0,31544.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:38,2,2,30807.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:39,1,0,27957.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:40,4,0,31341.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:41,1,0,31034.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:42,5,0,28846.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:43,9,1,29857.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:44,3,0,29579.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:45,6,0,29379.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:46,7,0,33907.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:47,2,0,30099.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:48,4,2,33118.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:49,4,0,30752.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:50,10,0,31069.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:51,8,0,32685.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:52,3,0,31942.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:53,7,1,31351.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:54,3,0,20635.0,-1.0,-1.0,-1.0,40.8,-1.0,-1.0,-1.0
2015-12-09 14:17:55,3,0,33683.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:56,2,0,31543.4,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:57,8,0,30703.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:58,6,1,29617.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:17:59,5,0,25516.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:00,2,0,30269.7,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:01,6,0,32040.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:02,5,0,31737.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:03,6,1,31002.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:04,5,0,26685.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:05,1,0,31523.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:06,4,0,32660.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:07,6,0,33137.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:08,4,2,31689.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:09,6,0,31155.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:10,3,0,32118.6,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:11,8,0,33615.3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:12,5,0,33187.1,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:13,6,1,32363.2,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:14,5,0,30163.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:15,3,0,32171.5,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:16,6,0,29760.9,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2015-12-09 14:18:17,4,0,30629.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
