Disk transfers per second iZ25qtxwjqdZ,xvda,xvda1,xvdb,xvdb1
2015-12-09 14:19:16,0.0,0.0,0.0,0.0
2015-12-09 14:19:17,0.0,0.0,0.0,0.0
2015-12-09 14:19:18,0.0,0.0,112.9,112.9
2015-12-09 14:19:19,5.0,5.0,545.6,545.6
2015-12-09 14:19:20,0.0,0.0,0.0,0.0
2015-12-09 14:19:21,0.0,0.0,0.0,0.0
2015-12-09 14:19:22,0.0,0.0,0.0,0.0
2015-12-09 14:19:23,0.0,0.0,112.9,112.9
2015-12-09 14:19:24,6.0,6.0,441.7,441.7
2015-12-09 14:19:25,0.0,0.0,0.0,0.0
2015-12-09 14:19:26,0.0,0.0,0.0,0.0
2015-12-09 14:19:27,0.0,0.0,0.0,0.0
2015-12-09 14:19:28,0.0,0.0,167.9,167.9
2015-12-09 14:19:29,5.0,5.0,425.7,425.7
2015-12-09 14:19:30,0.0,0.0,0.0,0.0
2015-12-09 14:19:31,0.0,0.0,0.0,0.0
2015-12-09 14:19:32,0.0,0.0,0.0,0.0
2015-12-09 14:19:33,0.0,0.0,159.9,159.9
2015-12-09 14:19:34,8.0,8.0,445.7,445.7
2015-12-09 14:19:35,0.0,0.0,0.0,0.0
2015-12-09 14:19:36,0.0,0.0,0.0,0.0
2015-12-09 14:19:37,0.0,0.0,0.0,0.0
2015-12-09 14:19:38,0.0,0.0,88.9,88.9
2015-12-09 14:19:39,6.0,6.0,488.6,488.6
2015-12-09 14:19:40,0.0,0.0,0.0,0.0
2015-12-09 14:19:41,0.0,0.0,0.0,0.0
2015-12-09 14:19:42,0.0,0.0,0.0,0.0
2015-12-09 14:19:43,0.0,0.0,110.9,110.9
2015-12-09 14:19:44,2.0,2.0,496.7,496.7
2015-12-09 14:19:45,0.0,0.0,0.0,0.0
2015-12-09 14:19:46,0.0,0.0,0.0,0.0
2015-12-09 14:19:47,0.0,0.0,0.0,0.0
2015-12-09 14:19:48,0.0,0.0,104.9,104.9
