CPU 2 iZ25qtxwjqdZ,User%,Sys%,Wait%,Idle%
2015-12-09 14:17:33,18.4,8.0,3.4,70.1
2015-12-09 14:17:34,17.6,6.6,37.4,38.5
2015-12-09 14:17:35,18.2,5.7,0.0,76.1
2015-12-09 14:17:36,23.3,7.8,0.0,68.9
2015-12-09 14:17:37,19.3,6.8,0.0,73.9
2015-12-09 14:17:38,18.0,6.7,4.5,70.8
2015-12-09 14:17:39,15.7,6.7,34.8,42.7
2015-12-09 14:17:40,20.9,5.8,0.0,73.3
2015-12-09 14:17:41,17.8,6.7,0.0,75.6
2015-12-09 14:17:42,17.6,6.6,0.0,75.8
2015-12-09 14:17:43,18.9,5.6,0.0,75.6
2015-12-09 14:17:44,19.1,5.6,0.0,75.3
2015-12-09 14:17:45,19.8,6.6,0.0,73.6
2015-12-09 14:17:46,21.8,9.2,0.0,69.0
2015-12-09 14:17:47,18.9,6.7,0.0,74.4
2015-12-09 14:17:48,21.3,7.9,0.0,70.8
2015-12-09 14:17:49,19.1,6.7,0.0,74.2
2015-12-09 14:17:50,21.7,7.6,0.0,70.7
2015-12-09 14:17:51,17.2,6.9,0.0,75.9
2015-12-09 14:17:52,21.3,5.6,0.0,73.0
2015-12-09 14:17:53,19.8,6.6,0.0,73.6
2015-12-09 14:17:54,13.8,5.3,6.4,74.5
2015-12-09 14:17:55,23.6,6.7,0.0,69.7
2015-12-09 14:17:56,19.1,6.7,0.0,74.2
2015-12-09 14:17:57,21.3,7.9,0.0,70.8
2015-12-09 14:17:58,15.9,5.7,0.0,78.4
2015-12-09 14:17:59,16.3,4.3,14.1,65.2
2015-12-09 14:18:00,21.6,4.5,0.0,73.9
2015-12-09 14:18:01,21.3,6.7,0.0,71.9
2015-12-09 14:18:02,21.1,5.6,0.0,73.3
2015-12-09 14:18:03,18.9,7.8,4.4,68.9
2015-12-09 14:18:04,16.7,5.6,34.4,43.3
2015-12-09 14:18:05,20.5,8.0,0.0,71.6
2015-12-09 14:18:06,18.6,8.1,0.0,73.3
2015-12-09 14:18:07,22.0,7.7,0.0,70.3
2015-12-09 14:18:08,18.4,8.0,5.7,67.8
2015-12-09 14:18:09,20.5,8.0,14.8,56.8
2015-12-09 14:18:10,21.6,8.0,0.0,70.5
2015-12-09 14:18:11,19.3,8.0,0.0,72.7
2015-12-09 14:18:12,19.5,8.0,0.0,72.4
2015-12-09 14:18:13,18.2,8.0,0.0,73.9
2015-12-09 14:18:14,18.0,7.9,0.0,74.2
2015-12-09 14:18:15,20.9,5.8,0.0,73.3
2015-12-09 14:18:16,17.0,5.7,0.0,77.3
2015-12-09 14:18:17,20.2,7.9,0.0,71.9
2015-12-09 14:18:18,16.7,6.7,0.0,76.7
2015-12-09 14:18:19,16.5,4.4,0.0,79.1
2015-12-09 14:18:20,18.9,7.8,0.0,73.3
2015-12-09 14:18:21,16.9,6.7,0.0,76.4
2015-12-09 14:18:22,17.8,7.8,0.0,74.4
2015-12-09 14:18:23,18.4,6.9,0.0,74.7
2015-12-09 14:18:24,24.1,8.0,0.0,67.8
2015-12-09 14:18:25,21.3,9.0,0.0,69.7
2015-12-09 14:18:26,19.1,7.9,0.0,73.0
2015-12-09 14:18:27,21.1,6.7,0.0,72.2
2015-12-09 14:18:28,18.2,4.5,0.0,77.3
2015-12-09 14:18:29,19.3,6.8,0.0,73.9
2015-12-09 14:18:30,18.7,7.7,0.0,73.6
2015-12-09 14:18:31,20.2,6.7,0.0,73.0
2015-12-09 14:18:32,20.0,8.2,0.0,71.8
2015-12-09 14:18:33,20.2,6.7,0.0,73.0
2015-12-09 14:18:34,15.4,6.6,0.0,78.0
