Disk Write KB/s iZ25qtxwjqdZ,xvda,xvda1,xvdb,xvdb1
2015-12-09 14:17:11,0.0,0.0,0.0,0.0
2015-12-09 14:17:12,0.0,0.0,0.0,0.0
2015-12-09 14:17:13,0.0,0.0,6859.9,6859.9
2015-12-09 14:17:14,0.0,0.0,19718.8,19718.8
2015-12-09 14:17:15,0.0,0.0,0.0,0.0
2015-12-09 14:17:16,12.0,12.0,0.0,0.0
2015-12-09 14:17:17,0.0,0.0,0.0,0.0
2015-12-09 14:17:18,0.0,0.0,10649.5,10649.5
2015-12-09 14:17:19,36.0,36.0,13119.9,13119.9
2015-12-09 14:17:20,0.0,0.0,0.0,0.0
2015-12-09 14:17:21,0.0,0.0,0.0,0.0
2015-12-09 14:17:22,20.0,20.0,0.0,0.0
2015-12-09 14:17:23,0.0,0.0,11004.8,11004.8
2015-12-09 14:17:24,12.0,12.0,14887.6,14887.6
2015-12-09 14:17:25,0.0,0.0,0.0,0.0
2015-12-09 14:17:26,0.0,0.0,0.0,0.0
2015-12-09 14:17:27,0.0,0.0,0.0,0.0
2015-12-09 14:17:28,16.0,16.0,2110.5,2110.5
2015-12-09 14:17:29,0.0,0.0,21344.1,21344.1
2015-12-09 14:17:30,0.0,0.0,0.0,0.0
2015-12-09 14:17:31,0.0,0.0,0.0,0.0
2015-12-09 14:17:32,0.0,0.0,0.0,0.0
2015-12-09 14:17:33,0.0,0.0,2046.2,2046.2
2015-12-09 14:17:34,15.9,15.9,23382.3,23382.3
2015-12-09 14:17:35,0.0,0.0,0.0,0.0
2015-12-09 14:17:36,0.0,0.0,0.0,0.0
2015-12-09 14:17:37,0.0,0.0,0.0,0.0
2015-12-09 14:17:38,0.0,0.0,2066.7,2066.7
2015-12-09 14:17:39,16.0,16.0,24320.8,24320.8
2015-12-09 14:17:40,0.0,0.0,0.0,0.0
2015-12-09 14:17:41,0.0,0.0,0.0,0.0
2015-12-09 14:17:42,0.0,0.0,0.0,0.0
2015-12-09 14:17:43,0.0,0.0,1844.8,1844.8
2015-12-09 14:17:44,12.0,12.0,23838.4,23838.4
2015-12-09 14:17:45,0.0,0.0,0.0,0.0
2015-12-09 14:17:46,0.0,0.0,0.0,0.0
2015-12-09 14:17:47,0.0,0.0,0.0,0.0
2015-12-09 14:17:48,0.0,0.0,3025.3,3025.3
2015-12-09 14:17:49,11.9,11.9,23077.8,23077.8
2015-12-09 14:17:50,0.0,0.0,0.0,0.0
2015-12-09 14:17:51,0.0,0.0,0.0,0.0
2015-12-09 14:17:52,0.0,0.0,0.0,0.0
2015-12-09 14:17:53,0.0,0.0,2538.3,2538.3
2015-12-09 14:17:54,63.7,63.7,23615.3,23615.3
2015-12-09 14:17:55,0.0,0.0,0.0,0.0
2015-12-09 14:17:56,0.0,0.0,0.0,0.0
2015-12-09 14:17:57,0.0,0.0,0.0,0.0
2015-12-09 14:17:58,0.0,0.0,3257.8,3257.8
2015-12-09 14:17:59,23.9,23.9,20885.6,20885.6
2015-12-09 14:18:00,0.0,0.0,0.0,0.0
2015-12-09 14:18:01,0.0,0.0,0.0,0.0
2015-12-09 14:18:02,0.0,0.0,0.0,0.0
2015-12-09 14:18:03,0.0,0.0,2581.5,2581.5
2015-12-09 14:18:04,12.0,12.0,23273.1,23273.1
2015-12-09 14:18:05,0.0,0.0,0.0,0.0
2015-12-09 14:18:06,0.0,0.0,0.0,0.0
2015-12-09 14:18:07,0.0,0.0,0.0,0.0
2015-12-09 14:18:08,0.0,0.0,2945.8,2945.8
2015-12-09 14:18:09,16.0,16.0,23976.5,23976.5
2015-12-09 14:18:10,0.0,0.0,0.0,0.0
2015-12-09 14:18:11,0.0,0.0,0.0,0.0
2015-12-09 14:18:12,0.0,0.0,0.0,0.0
2015-12-09 14:18:13,0.0,0.0,5348.6,5348.6
2015-12-09 14:18:14,12.0,12.0,22343.7,22343.7
2015-12-09 14:18:15,0.0,0.0,0.0,0.0
2015-12-09 14:18:16,0.0,0.0,0.0,0.0
2015-12-09 14:18:17,0.0,0.0,0.0,0.0
2015-12-09 14:18:18,0.0,0.0,4924.7,4924.7
2015-12-09 14:18:19,0.0,0.0,20682.2,20682.2
2015-12-09 14:18:20,12.0,12.0,0.0,0.0
2015-12-09 14:18:21,0.0,0.0,0.0,0.0
2015-12-09 14:18:22,0.0,0.0,0.0,0.0
2015-12-09 14:18:23,0.0,0.0,3349.9,3349.9
2015-12-09 14:18:24,16.0,16.0,22603.7,22603.7
2015-12-09 14:18:25,0.0,0.0,0.0,0.0
2015-12-09 14:18:26,19.9,19.9,0.0,0.0
2015-12-09 14:18:27,0.0,0.0,0.0,0.0
2015-12-09 14:18:28,0.0,0.0,3889.5,3889.5
2015-12-09 14:18:29,36.0,36.0,23675.7,23675.7
2015-12-09 14:18:30,0.0,0.0,0.0,0.0
